PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,"Clark, Miss Mabel",female,22.9,2,1,SM70415,3.5,,M
2,1,3,"Lewis, Miss Margaret",female,59.8,1,0,SM69589,4.35,,L
3,1,2,"Garcia, Mrs. Anna",female,,1,0,SM43901,14.88,,C
4,0,2,"Parker, Mrs. Violet",female,27.7,0,1,SM68491,26.51,,L
5,1,1,"Adams, Miss Rose",female,52.1,1,1,SM16863,65.47,,C
6,1,3,"Harris, Miss Grace",female,30.9,0,2,SM34535,3.5,,L
7,0,1,"Stewart, Mr. Ernest",male,57.9,0,0,SM66985,72.69,A43,M
8,1,2,"Jones, Mr. Clarence",male,8.4,1,1,SM37886,7.95,,C
9,0,3,"Allen, Mr. Frederick",male,0.5,0,0,SM87459,4.8,,L
10,0,1,"Sanchez, Countess Violet",female,45.2,1,1,SM58085,97.86,A66,C
11,0,3,"Lopez, Mr. Raymond",male,16.1,0,0,SM42189,5.58,,M
12,1,1,"Jackson, Lady Gertrude",female,37.7,0,1,SM20561,56.52,B59,C
13,1,1,"Sanchez, Lady Agnes",female,28.3,0,0,SM80776,91.66,A86,L
14,1,3,"Nelson, Mr. Frederick",male,37.4,0,0,SM86865,7.65,,C
15,1,2,"Phillips, Miss Louisa",female,12.7,1,0,SM12587,23.65,E46,L
16,1,3,"King, Mrs. Florence",female,12.6,1,1,SM59664,11.01,,L
17,0,3,"Perez, Mrs. Rose",female,29.0,0,0,SM22648,7.35,,M
18,1,3,"Adams, Mr. William",male,,3,0,SM99505,3.56,,M
19,1,1,"Thompson, Mrs. Helen",female,34.9,0,0,SM86271,74.69,,L
20,1,2,"Lee, Miss Gladys",female,42.1,0,0,SM28350,28.63,,L
21,0,3,"Clark, Mr. Samuel",male,26.7,0,0,SM51229,11.39,,M
22,0,1,"Edwards, Mr. Alfred",male,58.6,1,0,SM77889,20.99,B25,C
23,0,3,"Harris, Mr. Michael",male,0.5,0,0,SM66372,8.05,,L
24,0,3,"Carter, Mr. Albert",male,27.1,0,0,SM54767,13.89,,L
25,1,1,"Lewis, Lady Harriet",female,71.1,0,0,SM39603,133.21,A93,M
26,1,3,"Clark, Mrs. Winifred",female,16.5,2,2,SM24984,3.5,,C
27,0,3,"Sanchez, Mr. Frank",male,16.5,3,0,SM97135,10.36,,C
28,0,3,"Martin, Mr. Frank",male,36.2,1,0,SM53452,9.05,,M
29,1,2,"Walker, Mrs. Mary",female,25.8,1,0,SM19514,20.4,,C
30,1,2,"Martinez, Mr. Michael",male,38.4,1,0,SM84572,27.79,,L
